200
1 2 3 4
2 3 4 5
3 4 5 6
4 5 6 7
5 6 7 8
6 7 8 9
7 8 9 10
8 9 10 1
9 10 1 2
10 1 2 3
1 3 2 4
2 4 3 5
3 5 4 6
4 6 5 7
5 7 6 8
6 8 7 9
7 9 8 10
8 10 9 1
9 1 10 2
1 4 2 5
2 5 3 6
3 6 4 7
4 7 5 8
5 8 6 9
6 9 7 10
7 10 8 1
8 1 9 2
9 2 10 3
1 5 2 6
2 6 3 7
3 7 4 8
4 8 5 9
5 9 6 10
6 10 7 1
7 1 8 2
8 2 9 3
9 3 10 4
1 6 2 7
2 7 3 8
3 8 4 9
4 9 5 10
5 10 6 1
6 1 7 2
7 2 8 3
8 3 9 4
9 4 10 5
1 7 2 8
2 8 3 9
3 9 4 10
4 10 5 1
5 1 6 2
6 2 7 3
7 3 8 4
8 4 9 5
9 5 10 6
1 8 2 9
2 9 3 10
3 10 4 1
4 1 5 2
5 2 6 3
6 3 7 4
7 4 8 5
8 5 9 6
9 6 10 7
1 9 2 10
2 10 3 1
3 1 4 2
4 2 5 3
5 3 6 4
6 4 7 5
7 5 8 6
8 6 9 7
9 7 10 8
1 10 2 1
2 1 3 2
3 2 4 3
4 3 5 4
5 4 6 5
6 5 7 6
7 6 8 7
8 7 9 8
9 8 10 9
1 2 1 3
1 3 2 4
1 4 3 5
1 5 4 6
1 6 5 7
1 7 6 8
1 8 7 9
1 9 8 10
1 10 9 1
2 3 1 4
2 4 3 5
2 5 4 6
2 6 5 7
2 7 6 8
2 8 7 9
2 9 8 10
2 10 9 1
3 4 2 5
3 5 4 6
3 6 5 7
3 7 6 8
3 8 7 9
3 9 8 10
3 10 9 1
4 5 3 6
4 6 5 7
4 7 6 8
4 8 7 9
4 9 8 10
4 10 9 1
5 6 4 7
5 7 6 8
5 8 7 9
5 9 8 10
5 10 9 1
6 7 5 8
6 8 7 9
6 9 8 10
6 10 9 1
7 8 6 9
7 9 8 10
7 10 9 1
8 9 7 10
8 10 9 1
9 10 8 1
1 2 3 4
2 3 4 5
3 4 5 6
4 5 6 7
5 6 7 8
6 7 8 9
7 8 9 10
8 9 10 1
9 10 1 2
10 1 2 3
1 3 2 4
2 4 3 5
3 5 4 6
4 6 5 7
5 7 6 8
6 8 7 9
7 9 8 10
8 10 9 1
9 1 10 2
12 24 20 18
15 15 10 8
28 5 18 20
30 10 12 25
20 8 10 15
15 25 5 20
5 5 20 28
10 12 18 15
8 18 25 10
20 10 15 30
18 8 10 25
15 12 5 15
25 10 18 28
10 20 25 15
5 8 10 12
20 15 30 10
15 10 18 25
8 20 12 5
18 12 15 20
25 5 20 10
10 8 5 18
15 5 10 25
12 18 8 28
20 25 5 15
10 15 18 10
5 20 12 18
15 25 30 12
8 10 20 5
25 8 18 30
10 5 8 12
15 10 12 20
20 18 10 8
25 20 15 10
5 12 8 10
18 10 15 5
12 5 10 30
8 12 20 18
10 25 15 8
5 10 20 12
15 18 5 10
20 5 15 12
10 8 30 20
15 20 5 8
18 15 8 10
5 10 20 15
12 5 18 10
8 15 10 5
10 20 18 25
20 8 15 12
5 15 10 8
2 5 10 2
8 10 5 4
7 3 9 2
6 5 8 9
