Comparaciones para particion hoare y normal

Operaciones básicas
|   Prueba   |   1  |  2   |  3   |   4  |  5   |  6   |  7   |  8   |  9   |  10  |
|  n = 1000  |  703 |  690 |  729 |  686 |  687 |  677 |  679 |  641 |  704 |  697 |
|  n = 2000  | 1419 | 1394 | 1394 | 1413 | 1455 | 1412 | 1411 | 1444 | 1438 | 1375 |
|  n = 3000  | 1177 | 1163 | 1164 | 1179 | 1168 | 1190 | 1196 | 1161 | 1185 | 1175 |
|  n = 5000  | 2737 | 2829 | 2713 | 2711 | 2772 | 2698 | 2703 | 2697 | 2763 | 2759 |
|  n = 10000 | 6315 | 6241 | 6299 | 6309 | 6300 | 6245 | 6190 | 6082 | 6276 | 6299 |


Tiempo
|   Prueba   |     1    |    2     |    3     |     4    |    5     |    6     |    7     |    8     |    9     |    10    |
|  n = 1000  | 0.002621 | 0.002635 | 0.002581 | 0.002718 | 0.002708 | 0.002623 | 0.002624 | 0.002775 | 0.002632 | 0.002857 |
|  n = 2000  | 0.005563 | 0.005761 | 0.005501 | 0.005620 | 0.006973 | 0.005946 | 0.005989 | 0.005487 | 0.006011 | 0.007517 |
|  n = 3000  | 0.008787 | 0.008324 | 0.008579 | 0.009309 | 0.009013 | 0.008152 | 0.011731 | 0.008404 | 0.008180 | 0.009444 |
|  n = 5000  | 0.015833 | 0.016600 | 0.015537 | 0.016217 | 0.016435 | 0.017046 | 0.016497 | 0.016222 | 0.018591 | 0.016179 |
|  n = 10000 | 0.044917 | 0.033699 | 0.034255 | 0.034882 | 0.034804 | 0.037874 | 0.038358 | 0.034067 | 0.031938 | 0.037017 |
