Archivo: /shared_memory/datos_0.txt, Promedio: 49.1519
Archivo: /shared_memory/datos_1.txt, Promedio: 288.061
Archivo: /shared_memory/datos_2.txt, Promedio: 153.393
Archivo: /shared_memory/datos_3.txt, Promedio: 59.0895
Archivo: /shared_memory/datos_4.txt, Promedio: 292.191
Archivo: /shared_memory/datos_5.txt, Promedio: 148.106
Archivo: /shared_memory/datos_6.txt, Promedio: 51.1008
Archivo: /shared_memory/datos_7.txt, Promedio: 291.228
Archivo: /shared_memory/datos_8.txt, Promedio: 155.487
Archivo: /shared_memory/datos_9.txt, Promedio: 56.9812
Archivo: /shared_memory/datos_10.txt, Promedio: 292.13
Archivo: /shared_memory/datos_11.txt, Promedio: 154.218
Archivo: /shared_memory/datos_12.txt, Promedio: 54.5858
Archivo: /shared_memory/datos_13.txt, Promedio: 298.062
Archivo: /shared_memory/datos_14.txt, Promedio: 162.802
Archivo: /shared_memory/datos_15.txt, Promedio: 63.3404
Archivo: /shared_memory/datos_16.txt, Promedio: 300.794
Archivo: /shared_memory/datos_17.txt, Promedio: 162.013
Archivo: /shared_memory/datos_18.txt, Promedio: 61.4942
Archivo: /shared_memory/datos_19.txt, Promedio: 302.282
Archivo: /shared_memory/datos_20.txt, Promedio: 162.869
Archivo: /shared_memory/datos_21.txt, Promedio: 65.2264
Archivo: /shared_memory/datos_22.txt, Promedio: 305.483
Archivo: /shared_memory/datos_23.txt, Promedio: 168.93
Archivo: /shared_memory/datos_24.txt, Promedio: 68.5296
Archivo: /shared_memory/datos_25.txt, Promedio: 301.174
Archivo: /shared_memory/datos_26.txt, Promedio: 160.883
Archivo: /shared_memory/datos_27.txt, Promedio: 59.9593
Archivo: /shared_memory/datos_28.txt, Promedio: 299.098
Archivo: /shared_memory/datos_29.txt, Promedio: 162.634
Archivo: /shared_memory/datos_30.txt, Promedio: 67.167
